category,task_name,bimodality_coeff,quality,n_high,n_low,mean_high,mean_low,high_tiers,high_models
rl,gray_hamming_rf_learning,0.8236,good_bimodal,2,12,0.9335,0.1264,['frontier'],"GPT-5.4, Gemini 3.1 Pro Preview"
language,skolvren_polysynthetic_lang_learning,0.8169,good_bimodal,2,12,0.4313,0.0083,"['frontier', 'mid']","Claude Sonnet 4.6, Gemini 3.1 Pro Preview"
observational,register_machine_trace_obs_learning,0.8062,good_bimodal,3,11,0.5833,0.0,['frontier'],"Claude Opus 4.6, GLM-5, Gemini 3.1 Pro Preview"
rl,wordle_micro_rf_learning,0.8,good_bimodal,2,12,0.985,0.1333,['frontier'],"GLM-5, Gemini 3.1 Pro Preview"
rl,hot_cold_rf_learning,0.7966,inverted_bimodal,4,10,0.3543,0.0,"['mid', 'small']","DeepSeek V3.2, Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Gemma 4 26B A4B"
rl,coin_balance_rf_learning,0.7946,mixed_bimodal,9,5,0.9912,0.7047,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, DeepSeek V3.2, GLM-5, GPT-5.4"
observational,hidden_group_operation_obs_learning,0.7923,good_bimodal,4,10,0.4375,0.0,"['frontier', 'mid']","DeepSeek V3.2, GPT-5.4, GPT-5.4 mini, Gemini 3.1 Pro Preview"
rl,bitstring_hamming_rf_learning,0.7922,good_bimodal,2,12,0.867,0.1333,"['frontier', 'mid']","Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview"
rl,interval_contains_rf_learning,0.7863,extreme_bimodal,1,13,0.9489,0.071,['mid'],Gemini 2.5 Flash
observational,shapley_values_cooperative_game_obs_learning,0.7776,good_bimodal,3,11,1.0,0.0,"['frontier', 'mid']","GLM-5, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
concept,layered_transform_concept_learning,0.7771,good_bimodal,3,11,0.9688,0.0,"['frontier', 'mid']","GLM-5, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
rl,sum_product_xy_rf_learning,0.7694,mixed_bimodal,11,3,0.987,0.2,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5"
observational,feistel_cipher_round_obs_learning,0.7589,good_bimodal,3,11,0.75,0.0,"['frontier', 'mid']","DeepSeek V3.2, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
rl,quadratic_root_rf_learning,0.7581,mixed_bimodal,10,4,0.9964,0.3533,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5"
rl,sudoku_2x2_rf_learning,0.7553,mixed_bimodal,10,4,0.9796,0.2246,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5"
observational,custom_gravity_simulation_obs_learning,0.7455,mixed_bimodal,10,4,1.0,0.5,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, GPT-5.4, Gemini 2.5 Flash"
rl,perm_fixed_points_rf_learning,0.7335,good_bimodal,3,11,0.8929,0.0582,"['frontier', 'mid']","GLM-5, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
rl,grid_seven_rf_learning,0.7272,good_bimodal,2,12,0.1083,0.0083,"['frontier', 'mid']","GLM-5, Qwen 3 Next 80B Thinking"
associative,glyph_bind_assoc_learning,0.7264,good_bimodal,2,11,1.0,0.1818,['frontier'],"Claude Opus 4.6, Gemini 3.1 Pro Preview"
language,drafnelt_switch_reference_lang_learning,0.7241,good_bimodal,10,4,0.99,0.5594,"['frontier', 'mid']","Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5, GPT-5.4"
rl,fib_like_next_rf_learning,0.7235,mixed_bimodal,9,5,0.9462,0.4525,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5"
concept,hapax_prime_concept_learning,0.7234,extreme_bimodal,2,12,0.58,0.265,['mid'],"GPT-5.4 mini, Gemini 3.1 Flash-Lite Preview"
concept,grid_transform_concept_learning,0.7181,good_bimodal,4,10,0.85,0.0,"['frontier', 'mid']","DeepSeek V3.2, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
concept,digit_cipher_concept_learning,0.7119,good_bimodal,4,10,0.7,0.016,"['frontier', 'mid']","Claude Opus 4.6, DeepSeek V3.2, GLM-5, Gemini 3.1 Pro Preview"
observational,pipeline_hazard_stall_counting_obs_learning,0.7098,good_bimodal,3,11,0.8333,0.0455,"['frontier', 'mid']","DeepSeek V3.2, GLM-5, Gemini 3.1 Pro Preview"
observational,chemical_reaction_order_obs_learning,0.7037,mixed_bimodal,5,9,0.45,0.0,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, GPT-5.4 mini, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Instruct"
rl,nim_heap_rf_learning,0.6992,mixed_bimodal,7,7,0.15,0.0929,"['frontier', 'mid', 'small']","Claude Haiku 4.5, DeepSeek V3.2, GPT-5.4, GPT-5.4 mini, Gemini 3.1 Flash-Lite Preview"
concept,interleave_reverse_concept_learning,0.6932,good_bimodal,4,10,1.0,0.0,"['frontier', 'mid']","GLM-5, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
observational,hidden_priority_order_obs_learning,0.6919,mixed_bimodal,4,10,0.8125,0.0,"['frontier', 'mid', 'small']","Claude Opus 4.6, Gemini 3.1 Flash-Lite Preview, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
observational,finite_state_transducer_obs_learning,0.6897,good_bimodal,3,11,1.0,0.0682,"['frontier', 'mid']","GLM-5, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
rl,collatz_length_rf_learning,0.6861,mixed_bimodal,4,10,0.8849,0.0386,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Gemini 2.5 Flash, Gemini 3.1 Pro Preview"
rl,arithmetic_next_rf_learning,0.685,good_bimodal,4,10,0.9166,0.1357,"['frontier', 'mid']","GLM-5, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
concept,vowel_rotation_concept_learning,0.6806,good_bimodal,4,10,0.7446,0.0,"['frontier', 'mid']","GLM-5, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
associative,inference_dyad_operators_assoc_learning,0.6804,good_bimodal,3,11,0.8333,0.2159,"['frontier', 'mid']","GLM-5, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview"
rl,grid_octile_rf_learning,0.6801,mixed_bimodal,10,4,0.9788,0.02,"['frontier', 'mid', 'small']","Claude Sonnet 4.6, DeepSeek V3.2, GLM-5, GPT-5.4 nano, Gemini 2.5 Flash"
observational,linear_feedback_shift_register_obs_learning,0.6777,good_bimodal,3,11,0.75,0.0455,"['frontier', 'mid']","GLM-5, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview"
observational,sigil_naming_obs_learning,0.6769,good_bimodal,2,12,1.0,0.125,['frontier'],"GLM-5, Gemini 3.1 Pro Preview"
rl,minesweeper_1d_rf_learning,0.6684,mixed_bimodal,10,4,0.8549,0.0214,"['frontier', 'mid', 'small']","Claude Haiku 4.5, DeepSeek V3.2, GLM-5, GPT-5.4 mini, GPT-5.4 nano"
rl,rule90_step_rf_learning,0.6645,mixed_bimodal,10,4,0.9404,0.0945,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5"
observational,symbolic_glyphpair_scoring_obs_learning,0.6584,mixed_bimodal,4,10,0.3125,0.0,['mid'],"Claude Sonnet 4.6, DeepSeek V3.2, GPT-5.4 mini, Qwen 3 Next 80B Thinking"
observational,regex_intersection_membership_obs_learning,0.6538,mixed_bimodal,7,7,1.0,0.5714,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Sonnet 4.6, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview"
observational,lattice_meet_join_obs_learning,0.633,good_bimodal,4,10,0.6875,0.025,"['frontier', 'mid']","GLM-5, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
observational,titration_curve_diprotic_obs_learning,0.6307,good_bimodal,5,9,0.56,0.2,"['frontier', 'mid']","DeepSeek V3.2, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
associative,temporal_pairing_tnr_assoc_learning,0.6254,mixed_bimodal,9,4,1.0,0.6875,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, GLM-5, GPT-5.4"
associative,cumulative_state_rewrite_assoc_learning,0.6213,mixed_bimodal,3,10,0.7619,0.1143,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Gemini 2.5 Flash, Gemini 3.1 Pro Preview"
observational,codon_table_translation_obs_learning,0.6172,mixed_bimodal,5,9,1.0,0.0,"['frontier', 'mid', 'small']","DeepSeek V3.2, GLM-5, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
associative,latent_set_variant_assoc_learning,0.6172,good_bimodal,5,9,1.0,0.8333,"['frontier', 'mid']","Claude Opus 4.6, GLM-5, GPT-5.4, GPT-5.4 mini, Gemini 3.1 Pro Preview"
rl,chebyshev_point_rf_learning,0.6144,good_bimodal,9,5,0.9904,0.1714,"['frontier', 'mid']","Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5, GPT-5.4"
rl,affine_cipher_word_rf_learning,0.6142,mixed_bimodal,5,9,0.7974,0.0133,"['frontier', 'small']","GLM-5, GPT-5.4, GPT-5.4 nano, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
observational,hidden_matrix_fill_obs_learning,0.6136,mixed_bimodal,5,9,0.95,0.0,"['frontier', 'mid', 'small']","GLM-5, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Instruct, Qwen 3 Next 80B Thinking"
rl,perm_footrule_rf_learning,0.6112,mixed_bimodal,5,9,0.9743,0.0222,"['frontier', 'mid', 'small']","Claude Sonnet 4.6, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
associative,latent_set_binding_assoc_learning,0.6017,mixed_bimodal,7,7,1.0,0.6939,"['frontier', 'mid', 'small']","Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GPT-5.4 nano, Gemini 2.5 Flash"
rl,recurrence_second_order_rf_learning,0.6017,mixed_bimodal,9,5,0.9559,0.17,"['frontier', 'mid', 'small']","Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5, GPT-5.4"
observational,ring_operations_hidden_carry_obs_learning,0.6007,good_bimodal,5,9,0.9,0.0278,"['frontier', 'mid']","DeepSeek V3.2, GLM-5, GPT-5.4, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
rl,manhattan_point_rf_learning,0.5994,mixed_bimodal,9,5,0.974,0.09,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5"
observational,hidden_state_machine_obs_learning,0.5994,good_bimodal,2,12,0.75,0.125,"['frontier', 'mid']","Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
rl,battleship_1d_rf_learning,0.5947,mixed_bimodal,9,5,0.9191,0.0,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, DeepSeek V3.2, GLM-5, GPT-5.4"
rl,product_hotcold_rf_learning,0.5919,mixed_bimodal,9,5,0.949,0.1727,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, GLM-5, GPT-5.4"
language,threlkav_scope_ergativity_lang_learning,0.5896,good_bimodal,8,6,1.0,0.8273,"['frontier', 'mid']","Claude Opus 4.6, Claude Sonnet 4.6, GLM-5, GPT-5.4, Gemini 2.5 Flash"
language,strelkov_ergative_lang_learning,0.5832,mixed_bimodal,8,6,0.9833,0.45,"['frontier', 'mid', 'small']","Claude Opus 4.6, Claude Sonnet 4.6, GLM-5, GPT-5.4, Gemini 3.1 Flash-Lite Preview"
concept,positional_encode_concept_learning,0.5747,mixed_bimodal,4,10,0.6875,0.169,"['frontier', 'mid', 'small']","GPT-5.4, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Gemma 4 26B A4B"
rl,mastermind_classic_rf_learning,0.5735,mixed_bimodal,4,10,0.16,0.052,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2"
rl,base7_decode_rf_learning,0.5732,mixed_bimodal,9,5,0.9472,0.1575,"['frontier', 'mid', 'small']","Claude Haiku 4.5, Claude Opus 4.6, Claude Sonnet 4.6, DeepSeek V3.2, GLM-5"
concept,consonant_clusters_concept_learning,0.5702,good_bimodal,4,10,0.6009,0.0668,"['frontier', 'mid']","GLM-5, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Thinking"
observational,deceptive_stack_machine_obs_learning,0.563,mixed_bimodal,6,8,1.0,0.0,"['frontier', 'mid', 'small']","DeepSeek V3.2, GLM-5, Gemini 2.5 Flash, Gemini 3.1 Pro Preview, Qwen 3 Next 80B Instruct"
observational,two_counter_machine_obs_learning,0.5583,good_bimodal,4,10,0.7917,0.1167,"['frontier', 'mid']","GLM-5, Gemini 2.5 Flash, Gemini 3.1 Flash-Lite Preview, Qwen 3 Next 80B Thinking"
rl,shift_cipher_rf_learning,0.5554,mixed_bimodal,8,6,0.9323,0.2,"['frontier', 'mid', 'small']","GLM-5, GPT-5.4, GPT-5.4 mini, Gemini 3.1 Flash-Lite Preview, Gemini 3.1 Pro Preview"
