task_name,category,removal_priority,verdict,removal_reason,code_issue,verdict_short
digit_square_error_rf_learning,rl,medium,REMOVE,Low entropy. Task requires finding a 3-digit secret with ENERGY feedback (per-position errors raised to hidden exponents 2 or 3). Models cannot reliably infer the exponents from energy readings alone without algebraic reconstruction. Scores cluster with no tier separation.,"No bug, but the exponent ambiguity combined with multi-digit coupling creates a confounded search space that is not learnable in 40 turns.",REMOVE – low entropy; exponent ambiguity makes learning infeasible in budget
parity_groups_rf_learning,rl,medium,REMOVE,Low entropy. Task infers a 12-bit secret using noisy block-parity XOR feedback. XOR parity requires structured query design which language models struggle with systematically. Noisy feedback further reduces learning gradient. No tier separation.,No bug. The XOR parity feedback is theoretically recoverable but requires information-theoretically optimal queries – beyond current LLM sequential reasoning.,REMOVE – low entropy; XOR parity + noise beyond sequential LLM reasoning
grid_seven_rf_learning,rl,medium,REMOVE,"Low entropy. Task navigates a 7×7 fog-of-war grid with walls and hazard tiles. The 7×7 size combined with fog makes systematic exploration infeasible within budget. All models end up at similar low scores, providing no discrimination.",Grid size (7×7 = 49 cells) with fog and hazards exceeds what can be mapped in 30-40 turns. Compare to grid_octile (6×6) which performs better.,"REMOVE – low entropy; 7×7 fog grid too large for budget, no tier separation"
linear_polynomial_rf_learning,rl,medium,REMOVE,"Low entropy. Task requires inferring coefficients of a quadratic f(x)=Ax²+Bx+C via black-box queries. Models can recover linear functions well but the quadratic term creates a 3-parameter search space. With budget constraints, models converge to same intermediate accuracy, eliminating tier separation.",No bug. A cubic or higher polynomial would worsen this further. Consider simplifying to linear-only or increasing the probe budget if keeping.,REMOVE – low entropy; 3-param quadratic collapses within-tier variance
linear_equation_rf_learning,rl,medium,REMOVE,Low entropy. Task infers affine map f(x)=(Ax+B) mod 1009 which may shift mid-episode. Modular arithmetic with mid-episode drift is extremely hard to recover from. Scores cluster at low values with no differentiation.,"The mid-episode shift is a design flaw for inference-time learning – it invalidates previously gathered evidence, making systematic learning impossible.",REMOVE – mid-episode concept drift invalidates prior evidence; no discrimination
hanoi_two_rf_learning,rl,medium,KEEP,N/A – kept intentionally.,No bug. 3-disk Hanoi with hidden goal peg and hidden forbidden disk-peg rule. Inverted bimodal pattern (small models better) reveals RL-specific strengths in structured problem solving. Valuable capability insight per Phase C.,KEEP – inverted bimodal reveals small-model RL strengths; high research value
letter_overlap_word_rf_learning,rl,medium,KEEP,N/A – borderline keep.,No bug. Task finds 5-symbol word over synthetic alphabet via multiset overlap score. Moderate entropy and positive discrimination. Score variance is acceptable for a well-functioning RL task.,"KEEP – moderate entropy, positive discrimination, well-functioning task"
minesweeper_1d_rf_learning,rl,medium,REMOVE,"Negative discrimination + inverted tier gap. Task infers 3 hidden hazards on a 1D field with noisy adjacent-hazard count telemetry. Smaller models accidentally stumble upon correct answers while larger models over-think the noisy feedback, creating a perverse tier ordering.",The noise in adjacency counts combined with a sparse hazard density makes the problem under-constrained. Models cannot distinguish signal from noise reliably.,REMOVE – negative discrimination; noisy feedback creates perverse tier inversion
verbal_bandit_rf_learning,rl,medium,KEEP,N/A – kept despite medium flag.,No bug. Multi-armed bandit with nonstationary verbal payoffs and commit phase tests genuine exploration-exploitation trade-off. This is a clean RL task with real-world relevance. Retain pending deeper tier analysis.,KEEP – clean exploration-exploitation task; real-world relevance
digitwise_l1_rf_learning,rl,medium,KEEP,N/A – kept.,No bug. Find 4-digit code with weighted L1 distance feedback (hidden per-position weights). Good information-theoretic structure allows binary-search-like convergence. Positive discrimination expected.,KEEP – good information-theoretic structure; positive discrimination
grid_octile_rf_learning,rl,medium,KEEP,N/A – kept despite medium flag.,"No bug. 6×6 grid with 8-way movement and slip noise. Despite inverted tier gap within one model family, overall pattern is informative. Gemini-5-Flash outperforms Gemini-5 Pro – revealing a model-family-specific RL anomaly worth studying.",KEEP – Gemini family inversion reveals fine-tuning trade-offs; research value
grid_nav_rf_learning,rl,medium,REMOVE,Inverted tier gap. Larger models navigate the 7×7 fog grid worse than smaller models. This appears to be a systematic issue where larger models generate more verbose reasoning that exceeds context for action parsing. Not a genuine capability gap – an artifact.,Action parsing may fail on verbose model outputs. The run() loop should be more lenient in accepting action strings.,"REMOVE – inverted tier gap is parsing artifact, not genuine capability signal"
hanoi_three_rf_learning,rl,medium,REMOVE,"Extreme bimodal. Models either solve it completely or score near zero – no middle ground. Without a partial-credit gradient, the task cannot rank models within tiers. The 4-disk (or 3-disk more complex variant) Hanoi with hidden constraints collapses to a binary outcome.","No bug, but the lack of intermediate reward shaping means models either discover the pattern or give up. Consider adding step-level partial credit.","REMOVE – extreme bimodal; no partial credit gradient, binary solve/fail"
interval_contains_rf_learning,rl,medium,REMOVE,"Extreme bimodal. Task requires inferring interval [L, R] via INSIDE/OUTSIDE feedback. Models either quickly bracket the interval (solve) or chase random endpoints (fail). No intermediate performance level exists, collapsing tier discrimination.",No bug. Interval search with binary feedback naturally produces bimodal outcomes. Adding a 'distance to nearest boundary' hint could smooth performance but changes task semantics.,REMOVE – binary feedback produces extreme bimodal; no tier discrimination
hot_cold_rf_learning,rl,medium,REMOVE,"Extreme bimodal. Classic hot-cold search with hidden target. Models either understand the gradient structure (warm/cold feedback) and converge quickly, or they don't and score near zero. Similar to interval_contains, feedback structure produces binary outcomes.","No bug. The hot-cold metaphor is very well-known, potentially causing LLMs to rely on prior knowledge rather than learn from the specific feedback in context.",REMOVE – extreme bimodal; well-known metaphor may bypass inference-time learning
mastermind_aggregate_rf_learning,rl,medium,REMOVE,"Extreme bimodal. Mastermind variant with aggregate (not per-position) feedback. Models familiar with Mastermind apply standard strategies but the aggregate feedback changes the information structure significantly. This causes unpredictable performance: experts over-apply prior strategy, novices under-apply. Bimodal outcome.","No bug. The aggregate feedback is a deliberate twist, but it interacts poorly with LLM Mastermind priors.",REMOVE – extreme bimodal; aggregate feedback clashes with LLM Mastermind priors
